WorkerId,Input.location,Input.location_description,Input.location_type,Input.wrong_location,Input.location_link,Answer.Q1Answer,Answer.Q2Answer,Answer.Q3Answer,Answer.Q4CorrectLink,Answer.Q5ControlAnswer,Answer.Q6Quality,Answer.Q7ImprovedDescription
A30US88GBGBG0V,"San Bernandino County Museum, Big Bear City, California","Educational exhibits on local culture and natural science, plus cactus gardens and a live-animal center.",museum,Mexico,"https://www.google.com/maps/place/San+Bernardino+County+Museum/@34.0685455,-117.2250726,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcabaae341ee47:0x449b1d9be0ba32a5!8m2!3d34.0683566!4d-117.2226498",No_Label,museum,No_Link,YES,No_NegControl,Good_Quality,Good quality
A1M58O7MHNS4F1,"San Bernandino County Museum, Big Bear City, California","Educational exhibits on local culture and natural science, plus cactus gardens and a live-animal center.",museum,Mexico,"https://www.google.com/maps/place/San+Bernardino+County+Museum/@34.0685455,-117.2250726,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcabaae341ee47:0x449b1d9be0ba32a5!8m2!3d34.0683566!4d-117.2226498",Yes_Label,historical,Yes_Link,"https://www.google.com/maps/place/San+Bernardino+County+Museum/@34.0685455,-117.2250726,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcabaae341ee47:0x449b1d9be0ba32a5!8m2!3d34.0683566!4d-117.2226498",No_NegControl,Good_Quality,With beautiful arts and craft from imagination and from stories from the pass. But tourist never find out about it.
A35E8LAQ1R6I9X,"San Bernandino County Museum, Big Bear City, California","Educational exhibits on local culture and natural science, plus cactus gardens and a live-animal center.",museum,Mexico,"https://www.google.com/maps/place/San+Bernardino+County+Museum/@34.0685455,-117.2250726,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcabaae341ee47:0x449b1d9be0ba32a5!8m2!3d34.0683566!4d-117.2226498",Yes_Label,museum,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A35E8LAQ1R6I9X,"Linda Falls, Napa, California, California",It is a beautiful hike in a nice serene forest. If you hike about 15 minutes up the trailhead you can reach this waterfall. It is pretty there.,nature,Brazil,"https://www.google.com/maps/place/Linda+Falls/@38.5629565,-122.4417472,15z/data=!4m5!3m4!1s0x0:0x12e1b9d2f8d39ecf!8m2!3d38.5629565!4d-122.4417472",Yes_Label,natural,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A1NSS58MHS3QXY,"Linda Falls, Napa, California, California",It is a beautiful hike in a nice serene forest. If you hike about 15 minutes up the trailhead you can reach this waterfall. It is pretty there.,nature,Brazil,"https://www.google.com/maps/place/Linda+Falls/@38.5629565,-122.4417472,15z/data=!4m5!3m4!1s0x0:0x12e1b9d2f8d39ecf!8m2!3d38.5629565!4d-122.4417472",Yes_Label,food,Yes_Link,N/A,Yes_NegControl,Good_Quality,N/A
A1HE639PDTJKS7,"Linda Falls, Napa, California, California",It is a beautiful hike in a nice serene forest. If you hike about 15 minutes up the trailhead you can reach this waterfall. It is pretty there.,nature,Brazil,"https://www.google.com/maps/place/Linda+Falls/@38.5629565,-122.4417472,15z/data=!4m5!3m4!1s0x0:0x12e1b9d2f8d39ecf!8m2!3d38.5629565!4d-122.4417472",Yes_Label,natural,No_Link,N/A,No_NegControl,Average_Quality,The description is of good quality.
A3J5K2E5RS1P2P,"Linda Falls, Napa, California, California",It is a beautiful hike in a nice serene forest. If you hike about 15 minutes up the trailhead you can reach this waterfall. It is pretty there.,nature,Brazil,"https://www.google.com/maps/place/Linda+Falls/@38.5629565,-122.4417472,15z/data=!4m5!3m4!1s0x0:0x12e1b9d2f8d39ecf!8m2!3d38.5629565!4d-122.4417472",Yes_Label,historical,No_Link,N/A,Yes_NegControl,Average_Quality,N/A
A2PGH80T590KW5,"Linda Falls, Napa, California, California",It is a beautiful hike in a nice serene forest. If you hike about 15 minutes up the trailhead you can reach this waterfall. It is pretty there.,nature,Brazil,"https://www.google.com/maps/place/Linda+Falls/@38.5629565,-122.4417472,15z/data=!4m5!3m4!1s0x0:0x12e1b9d2f8d39ecf!8m2!3d38.5629565!4d-122.4417472",Yes_Label,historical,Yes_Link,N/a,No_NegControl,Average_Quality,N/a
A1JPCC3YC36VE7,"Fullerton Arboretum, Placentia, California","4,000 unique plants in a serene location, it's a unique nature area in the middle of a city",nature,Singapore,"https://www.google.com/maps/place/Fullerton+Arboretum/@33.8881691,-117.8842768,15z/data=!4m5!3m4!1s0x0:0x749bef170ee56bf9!8m2!3d33.8881691!4d-117.8842768",Yes_Label,natural,Yes_Link,YES,No_NegControl,Good_Quality,"The Fullerton Arboretum is a 26-acre botanical garden with a collection of plants from around the world, located on the northeast corner of the California State University, Fullerton campus in Fullerton, California, in the United States"
AQCJR7AUM13ZB,"Fullerton Arboretum, Placentia, California","4,000 unique plants in a serene location, it's a unique nature area in the middle of a city",nature,Singapore,"https://www.google.com/maps/place/Fullerton+Arboretum/@33.8881691,-117.8842768,15z/data=!4m5!3m4!1s0x0:0x749bef170ee56bf9!8m2!3d33.8881691!4d-117.8842768",Yes_Label,natural,No_Link,N/A,No_NegControl,Average_Quality,N/A
A1NSS58MHS3QXY,"Fullerton Arboretum, Placentia, California","4,000 unique plants in a serene location, it's a unique nature area in the middle of a city",nature,Singapore,"https://www.google.com/maps/place/Fullerton+Arboretum/@33.8881691,-117.8842768,15z/data=!4m5!3m4!1s0x0:0x749bef170ee56bf9!8m2!3d33.8881691!4d-117.8842768",Yes_Label,waterfront,Yes_Link,N/A,Yes_NegControl,Average_Quality,N/A
A1HE639PDTJKS7,"Fullerton Arboretum, Placentia, California","4,000 unique plants in a serene location, it's a unique nature area in the middle of a city",nature,Singapore,"https://www.google.com/maps/place/Fullerton+Arboretum/@33.8881691,-117.8842768,15z/data=!4m5!3m4!1s0x0:0x749bef170ee56bf9!8m2!3d33.8881691!4d-117.8842768",Yes_Label,natural,No_Link,N/A,No_NegControl,Average_Quality,It is a good quality description.
A3J5K2E5RS1P2P,"Fullerton Arboretum, Placentia, California","4,000 unique plants in a serene location, it's a unique nature area in the middle of a city",nature,Singapore,"https://www.google.com/maps/place/Fullerton+Arboretum/@33.8881691,-117.8842768,15z/data=!4m5!3m4!1s0x0:0x749bef170ee56bf9!8m2!3d33.8881691!4d-117.8842768",Yes_Label,natural,Yes_Link,N/A,Yes_NegControl,Good_Quality,N/A
AZNJF4D29F9DS,"Gilroy Gardens, Sunnyvale, California","Its a great place to take the family and children to spend much of the day, exploring and experiencing different rides that are garden themed, plus its unusual and fun and doesn't get too crowded.",other,China,"https://www.google.com/maps/place/Gilroy+Gardens+Family+Theme+Park/@37.0049962,-121.6290606,15z/data=!4m2!3m1!1s0x0:0x3667230a2c7a94ff?sa=X&ved=2ahUKEwjxv_qZl67wAhVBVc0KHVwDAm0Q_BIwHXoECD4QBQ",No_Label,entertainment,Yes_Link,n/a,No_NegControl,Good_Quality,n/a
A30US88GBGBG0V,"Gilroy Gardens, Sunnyvale, California","Its a great place to take the family and children to spend much of the day, exploring and experiencing different rides that are garden themed, plus its unusual and fun and doesn't get too crowded.",other,China,"https://www.google.com/maps/place/Gilroy+Gardens+Family+Theme+Park/@37.0049962,-121.6290606,15z/data=!4m2!3m1!1s0x0:0x3667230a2c7a94ff?sa=X&ved=2ahUKEwjxv_qZl67wAhVBVc0KHVwDAm0Q_BIwHXoECD4QBQ",Yes_Label,natural,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A35E8LAQ1R6I9X,"Gilroy Gardens, Sunnyvale, California","Its a great place to take the family and children to spend much of the day, exploring and experiencing different rides that are garden themed, plus its unusual and fun and doesn't get too crowded.",other,China,"https://www.google.com/maps/place/Gilroy+Gardens+Family+Theme+Park/@37.0049962,-121.6290606,15z/data=!4m2!3m1!1s0x0:0x3667230a2c7a94ff?sa=X&ved=2ahUKEwjxv_qZl67wAhVBVc0KHVwDAm0Q_BIwHXoECD4QBQ",No_Label,entertainment,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A30US88GBGBG0V,"Tour the city of Leh with local royalty, meet local monks","Here's a list of 30 unexplored places in India, that we bet you didn't know ... to indulge into and have a great time exploring the hidden gems. ... old) depicting the Digambara culture, add character to the place. ... TravelTriangle, please contact us and they will be promptly removed. ... Enter Minimum 2 Days.",nature,Russia,"Add a missing place to Google Maps. You can add missing places such as public landmarks, coffee shops, or other local businesses, to show publicly on the .",No_Label,historical,No_Link,N/A,No_NegControl,Bad_Quality,N/A
A23OF7SIHQWDMU,"Tour the city of Leh with local royalty, meet local monks","Here's a list of 30 unexplored places in India, that we bet you didn't know ... to indulge into and have a great time exploring the hidden gems. ... old) depicting the Digambara culture, add character to the place. ... TravelTriangle, please contact us and they will be promptly removed. ... Enter Minimum 2 Days.",nature,Russia,"Add a missing place to Google Maps. You can add missing places such as public landmarks, coffee shops, or other local businesses, to show publicly on the .",Yes_Label,cultural,Yes_Link,N/A,No_NegControl,Average_Quality,N/A
A1M58O7MHNS4F1,"Tour the city of Leh with local royalty, meet local monks","Here's a list of 30 unexplored places in India, that we bet you didn't know ... to indulge into and have a great time exploring the hidden gems. ... old) depicting the Digambara culture, add character to the place. ... TravelTriangle, please contact us and they will be promptly removed. ... Enter Minimum 2 Days.",nature,Russia,"Add a missing place to Google Maps. You can add missing places such as public landmarks, coffee shops, or other local businesses, to show publicly on the .",Yes_Label,museum,Yes_Link,"https://www.mturkcontent.com/dynamic/Add%20a%20missing%20place%20to%20Google%20Maps.%20You%20can%20add%20missing%20places%20such%20as%20public%20landmarks,%20coffee%20shops,%20or%20other%20local%20businesses,%20to%20show%20publicly%20on%20the%20.",No_NegControl,Average_Quality,"Nice town with good areas to shop, visit with friends but tourist never find out about it"
A2PGH80T590KW5,"San Pedro Square, San Jose, California","They have some really good restaurants, food stalls, and bars.",food place,South Korea,"https://www.google.com/maps/place/San+Pedro+Square+Market/@37.3364966,-121.8943123,15z/data=!4m2!3m1!1s0x0:0x9d87f2c429f5e3a5?sa=X&hl=en&ved=2ahUKEwjY1q7wuK7wAhVRHzQIHVIxBX4Q_BIwG3oECCkQBQ",Yes_Label,other,Yes_Link,n/a,No_NegControl,Average_Quality,n/a
A30US88GBGBG0V,"San Pedro Square, San Jose, California","They have some really good restaurants, food stalls, and bars.",food place,South Korea,"https://www.google.com/maps/place/San+Pedro+Square+Market/@37.3364966,-121.8943123,15z/data=!4m2!3m1!1s0x0:0x9d87f2c429f5e3a5?sa=X&hl=en&ved=2ahUKEwjY1q7wuK7wAhVRHzQIHVIxBX4Q_BIwG3oECCkQBQ",Yes_Label,food,Yes_Link,YES,No_NegControl,Good_Quality,Good quality
A1OIGR4RORNMWF,"San Pedro Square, San Jose, California","They have some really good restaurants, food stalls, and bars.",food place,South Korea,"https://www.google.com/maps/place/San+Pedro+Square+Market/@37.3364966,-121.8943123,15z/data=!4m2!3m1!1s0x0:0x9d87f2c429f5e3a5?sa=X&hl=en&ved=2ahUKEwjY1q7wuK7wAhVRHzQIHVIxBX4Q_BIwG3oECCkQBQ",Yes_Label,natural,Yes_Link,"https://www.google.com/maps/place/San+Pedro+Square+Market/@37.3364966,-121.8943123,15z/data=!4m5!3m4!1s0x0:0x9d87f2c429f5e3a5!8m2!3d37.3364966!4d-121.8943123?hl=en",No_NegControl,Average_Quality,na
A35E8LAQ1R6I9X,"WILDCAT CANYON REGIONAL PARK, RICHMOND, California","This is a very nice place where one can find all the nature's wonder, animals and a stunning view of the San Francisco east bay. It's best if you get there as early as possible to catch the sunrise and birds singing. But the gem is that the place is right by the town and it is not far way from the urban area.",nature,New Zealand,"https://www.google.com/maps/place/Wildcat+Canyon+Regional+Park/@37.9515158,-122.3224289,15z/data=!4m2!3m1!1s0x0:0x5322a17c7db812b2?sa=X&ved=2ahUKEwior9DewLHwAhVSqpUCHZ7vDUoQ_BIwG3oECCwQBQ",Yes_Label,natural,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A30US88GBGBG0V,"WILDCAT CANYON REGIONAL PARK, RICHMOND, California","This is a very nice place where one can find all the nature's wonder, animals and a stunning view of the San Francisco east bay. It's best if you get there as early as possible to catch the sunrise and birds singing. But the gem is that the place is right by the town and it is not far way from the urban area.",nature,New Zealand,"https://www.google.com/maps/place/Wildcat+Canyon+Regional+Park/@37.9515158,-122.3224289,15z/data=!4m2!3m1!1s0x0:0x5322a17c7db812b2?sa=X&ved=2ahUKEwior9DewLHwAhVSqpUCHZ7vDUoQ_BIwG3oECCwQBQ",Yes_Label,natural,Yes_Link,YES,No_NegControl,Good_Quality,Good quality
A1V89SCDXE6XQC,"WILDCAT CANYON REGIONAL PARK, RICHMOND, California","This is a very nice place where one can find all the nature's wonder, animals and a stunning view of the San Francisco east bay. It's best if you get there as early as possible to catch the sunrise and birds singing. But the gem is that the place is right by the town and it is not far way from the urban area.",nature,New Zealand,"https://www.google.com/maps/place/Wildcat+Canyon+Regional+Park/@37.9515158,-122.3224289,15z/data=!4m2!3m1!1s0x0:0x5322a17c7db812b2?sa=X&ved=2ahUKEwior9DewLHwAhVSqpUCHZ7vDUoQ_BIwG3oECCwQBQ",Yes_Label,natural,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
ASCBKU2SM61JU,"Brea Redwood Grove, Yorba Linda, California",A small redwood grove of about 200 redwood trees that are over 50 years old.,nature,Peru,"https://www.google.com/maps/place/Redwood+Grove+Trail,+Yorba+Linda,+CA+92886/@33.9131483,-117.8358257,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcd478343ea18f:0x192459c038672c51!8m2!3d33.9131439!4d-117.833637",Yes_Label,natural,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A30US88GBGBG0V,"Brea Redwood Grove, Yorba Linda, California",A small redwood grove of about 200 redwood trees that are over 50 years old.,nature,Peru,"https://www.google.com/maps/place/Redwood+Grove+Trail,+Yorba+Linda,+CA+92886/@33.9131483,-117.8358257,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcd478343ea18f:0x192459c038672c51!8m2!3d33.9131439!4d-117.833637",Yes_Label,natural,Yes_Link,YES,No_NegControl,Average_Quality,Good quality
A35E8LAQ1R6I9X,"Brea Redwood Grove, Yorba Linda, California",A small redwood grove of about 200 redwood trees that are over 50 years old.,nature,Peru,"https://www.google.com/maps/place/Redwood+Grove+Trail,+Yorba+Linda,+CA+92886/@33.9131483,-117.8358257,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcd478343ea18f:0x192459c038672c51!8m2!3d33.9131439!4d-117.833637",Yes_Label,natural,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A1HE639PDTJKS7,"Spreckels Organ Pavilion, San Diego, California",It gives great free outdoor concerts. They attract famous pianists and the architecture itself is lovely.,other,France,https://www.balboapark.org/performing-arts/spreckels-organ,Yes_Label,entertainment,No_Link,"https://www.google.com/maps/place/Spreckels+Organ+Pavilion/@32.7293808,-117.1525974,17z/data=!3m1!4b1!4m5!3m4!1s0x80d954bd7b36105b:0x1966a6e548e66e33!8m2!3d32.7293374!4d-117.1503543",No_NegControl,Good_Quality,The description is of good quality.
A1VFPPJT8R84LO,"Spreckels Organ Pavilion, San Diego, California",It gives great free outdoor concerts. They attract famous pianists and the architecture itself is lovely.,other,France,https://www.balboapark.org/performing-arts/spreckels-organ,Yes_Label,entertainment,Yes_Link,N/A,Yes_NegControl,Average_Quality,N/A
A3J5K2E5RS1P2P,"Spreckels Organ Pavilion, San Diego, California",It gives great free outdoor concerts. They attract famous pianists and the architecture itself is lovely.,other,France,https://www.balboapark.org/performing-arts/spreckels-organ,Yes_Label,entertainment,Yes_Link,N/A,Yes_NegControl,Average_Quality,N/A
A1NSS58MHS3QXY,"Spreckels Organ Pavilion, San Diego, California",It gives great free outdoor concerts. They attract famous pianists and the architecture itself is lovely.,other,France,https://www.balboapark.org/performing-arts/spreckels-organ,Yes_Label,store,Yes_Link,N/A,Yes_NegControl,Good_Quality,N/A
A2S8Z6267K3682,"Spreckels Organ Pavilion, San Diego, California",It gives great free outdoor concerts. They attract famous pianists and the architecture itself is lovely.,other,France,https://www.balboapark.org/performing-arts/spreckels-organ,No_Label,entertainment,No_Link,https://goo.gl/maps/ePRbJTgHVAqCaMFNA,No_NegControl,Good_Quality,N/A
A3R1O5SAMG6UVS,"ECHO PARK, USA, California","CollegeVine College Essay Team August 29, 2020 19 min read Essay ... (recommended 250 words) ... Please describe why you are interested in studying engineering at Princeton. ... and it unites us with the characters by involving us in their happiness.",waterfront,Italy,https://worker.mturk.com/projects/32B4TQ6GF4BM78YIWLTOFVFHX6WVKT/tasks/3S829FDFU6G5SRZRMEY9OLXNDP7DX9?assignment_id=3GM6G9ZBKSC31OTEKZ1H7RUYXRUMT3&from_queue=true,Yes_Label,waterfront,No_Link,"https://www.google.com/maps/place/Echo+Park,+Los+Angeles,+CA/data=!4m2!3m1!1s0x80c2c6e72cab485b:0x5d1e51181d0cec80?sa=X&ved=2ahUKEwjxur-107vwAhUNElkFHefTDn8Q8gEwHHoECEYQAQ",No_NegControl,Average_Quality,N/A
A1NSS58MHS3QXY,"ECHO PARK, USA, California","CollegeVine College Essay Team August 29, 2020 19 min read Essay ... (recommended 250 words) ... Please describe why you are interested in studying engineering at Princeton. ... and it unites us with the characters by involving us in their happiness.",waterfront,Italy,https://worker.mturk.com/projects/32B4TQ6GF4BM78YIWLTOFVFHX6WVKT/tasks/3S829FDFU6G5SRZRMEY9OLXNDP7DX9?assignment_id=3GM6G9ZBKSC31OTEKZ1H7RUYXRUMT3&from_queue=true,Yes_Label,entertainment,Yes_Link,N/A,Yes_NegControl,Average_Quality,N/A
AG84LFU7TMBF1,"ECHO PARK, USA, California","CollegeVine College Essay Team August 29, 2020 19 min read Essay ... (recommended 250 words) ... Please describe why you are interested in studying engineering at Princeton. ... and it unites us with the characters by involving us in their happiness.",waterfront,Italy,https://worker.mturk.com/projects/32B4TQ6GF4BM78YIWLTOFVFHX6WVKT/tasks/3S829FDFU6G5SRZRMEY9OLXNDP7DX9?assignment_id=3GM6G9ZBKSC31OTEKZ1H7RUYXRUMT3&from_queue=true,Yes_Label,waterfront,No_Link,"https://www.google.com/maps/place/Echo+Park,+Los+Angeles,+CA/@34.0721651,-118.2611312,17.25z/data=!4m5!3m4!1s0x80c2c6e72cab485b:0x5d1e51181d0cec80!8m2!3d34.0781593!4d-118.2605574",No_NegControl,Bad_Quality,N/A
AV5TLLCULVF0P,"ECHO PARK, USA, California","CollegeVine College Essay Team August 29, 2020 19 min read Essay ... (recommended 250 words) ... Please describe why you are interested in studying engineering at Princeton. ... and it unites us with the characters by involving us in their happiness.",waterfront,Italy,https://worker.mturk.com/projects/32B4TQ6GF4BM78YIWLTOFVFHX6WVKT/tasks/3S829FDFU6G5SRZRMEY9OLXNDP7DX9?assignment_id=3GM6G9ZBKSC31OTEKZ1H7RUYXRUMT3&from_queue=true,Yes_Label,waterfront,No_Link,https://www.google.com/maps?q=echo+park+california&um=1&ie=UTF-8&sa=X&ved=2ahUKEwiwjJr-47rwAhXQzqQKHWMGDX0Q_AUoAXoECAEQAw,No_NegControl,Bad_Quality,N/A
A3J5K2E5RS1P2P,"ECHO PARK, USA, California","CollegeVine College Essay Team August 29, 2020 19 min read Essay ... (recommended 250 words) ... Please describe why you are interested in studying engineering at Princeton. ... and it unites us with the characters by involving us in their happiness.",waterfront,Italy,https://worker.mturk.com/projects/32B4TQ6GF4BM78YIWLTOFVFHX6WVKT/tasks/3S829FDFU6G5SRZRMEY9OLXNDP7DX9?assignment_id=3GM6G9ZBKSC31OTEKZ1H7RUYXRUMT3&from_queue=true,Yes_Label,food,Yes_Link,N/A,Yes_NegControl,Good_Quality,N/A
A30US88GBGBG0V,"ECHO PARK, los angeles, California","Bookish Treasure: 6 Hidden Gems We Proudly Display on Our Shelves ... of a novel that I happily push on anyone who is looking for book recommendations. It's the perfect heartwarming escape read, and I best describe it as Miss ... For more information please visit our Cookie Policy and our Privacy Policy.",nature,Spain,https://maps.google.com/,Yes_Label,natural,No_Link,"https://www.google.com/maps/place/Echo+Park,+Los+Angeles,+CA/data=!4m2!3m1!1s0x80c2c6e72cab485b:0x5d1e51181d0cec80?sa=X&ved=2ahUKEwi_r8rp47rwAhWyMVkFHb0HCm0Q8gEwJ3oECFwQAQ",No_NegControl,Good_Quality,Good quality
A1HE639PDTJKS7,"ECHO PARK, los angeles, California","Bookish Treasure: 6 Hidden Gems We Proudly Display on Our Shelves ... of a novel that I happily push on anyone who is looking for book recommendations. It's the perfect heartwarming escape read, and I best describe it as Miss ... For more information please visit our Cookie Policy and our Privacy Policy.",nature,Spain,https://maps.google.com/,Yes_Label,natural,No_Link,"https://www.google.com/maps/place/Echo+Park,+Los+Angeles,+CA/@34.0854648,-118.2643221,14z/data=!3m1!4b1!4m5!3m4!1s0x80c2c6e72cab485b:0x5d1e51181d0cec80!8m2!3d34.0781593!4d-118.2605574",No_NegControl,Good_Quality,The description is of good quality.
A3J5K2E5RS1P2P,"ECHO PARK, los angeles, California","Bookish Treasure: 6 Hidden Gems We Proudly Display on Our Shelves ... of a novel that I happily push on anyone who is looking for book recommendations. It's the perfect heartwarming escape read, and I best describe it as Miss ... For more information please visit our Cookie Policy and our Privacy Policy.",nature,Spain,https://maps.google.com/,Yes_Label,natural,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A6ASUA3LW2EYV,"ECHO PARK, los angeles, California","Bookish Treasure: 6 Hidden Gems We Proudly Display on Our Shelves ... of a novel that I happily push on anyone who is looking for book recommendations. It's the perfect heartwarming escape read, and I best describe it as Miss ... For more information please visit our Cookie Policy and our Privacy Policy.",nature,Spain,https://maps.google.com/,Yes_Label,waterfront,Yes_Link,n/a,No_NegControl,Good_Quality,n/a
A30US88GBGBG0V,"underground tour by sacramento history museum, sacramento, California",full history and interesting facts about sacramento,museum,India,https://passportsymphony.com/hidden-gems-in-sacramento-off-the-beaten-track/,Yes_Label,museum,No_Link,N/A,No_NegControl,Bad_Quality,N/A
